cgpa,iq_score,tenth_percentage,twelfth_percentage,graduation_percentage,internships,projects,technical_skills_score,communication_score,backlogs,certifications,work_experience_months,branch,placement_status,package_lpa
4.54,98,83.14,71.52,80.1,2,0,5.41,6.02,0,2,0,ECE,Not Placed,
7.8,104,100.0,91.77,65.41,1,3,5.15,5.97,0,1,0,CSE,Placed,6.35
5.46,97,88.28,78.52,80.21,2,1,7.03,4.91,1,3,0,ME,Placed,4.89
6.43,117,81.51,70.17,71.53,2,3,8.19,6.31,1,2,0,CSE,Placed,8.19
7.53,102,96.12,,61.86,1,2,6.57,3.68,0,0,0,IT,Not Placed,
9.86,100,75.52,82.78,67.93,1,1,4.58,3.93,0,4,0,ECE,Placed,9.93
5.29,109,64.78,69.02,71.54,0,2,9.9,5.9,0,4,0,CSE,Not Placed,
7.53,132,71.18,75.54,68.11,5,1,4.98,2.78,0,0,0,IT,Placed,6.33
7.14,90,78.76,86.25,70.38,0,5,7.99,7.73,0,3,0,ECE,Placed,8.5
7.8,99,76.23,85.74,46.2,1,3,4.58,5.11,0,2,0,CE,Placed,3.69
7.44,104,79.77,86.27,71.39,1,0,4.44,6.61,0,0,0,IT,Placed,5.72
7.61,77,67.35,77.75,78.36,0,3,4.18,4.49,2,3,0,CE,Not Placed,
5.16,106,66.2,64.17,70.98,2,3,7.79,4.62,0,3,0,CSE,Placed,9.08
6.91,113,56.14,68.29,58.08,1,5,4.86,,1,1,0,IT,Placed,6.39
6.8,100,84.36,76.8,55.0,2,2,5.95,6.87,0,0,0,ECE,Not Placed,
6.61,99,90.0,74.03,47.86,0,4,4.91,7.18,0,1,0,CSE,Not Placed,
6.14,114,80.53,77.65,82.14,1,2,8.28,9.03,0,1,0,ECE,Not Placed,
8.93,104,85.43,57.79,73.4,1,4,6.93,5.66,0,0,0,ECE,Placed,7.45
5.54,99,90.13,68.39,66.97,2,3,3.36,3.97,0,2,0,EE,Not Placed,
7.84,109,75.86,87.31,71.71,0,4,5.11,5.82,1,1,0,CSE,Not Placed,
6.72,109,88.16,70.87,71.93,2,1,8.62,6.6,1,2,0,CSE,Placed,7.76
6.4,84,70.55,80.56,69.09,3,2,3.0,2.95,0,0,0,CE,Not Placed,
8.28,105,79.16,72.4,71.77,1,7,9.29,4.07,0,0,0,IT,Placed,8.67
6.02,104,82.84,77.26,76.76,1,3,7.14,7.76,0,1,0,CE,Placed,4.49
9.03,121,86.19,91.17,71.59,3,1,7.66,7.72,1,1,0,ME,Placed,8.42
7.17,104,92.86,77.0,78.33,3,1,3.76,3.9,0,1,0,EE,Placed,4.37
9.74,92,84.85,83.41,61.76,1,4,7.27,5.14,1,1,0,EE,Placed,7.77
6.58,102,67.65,61.83,72.51,3,0,7.33,8.33,0,2,0,CSE,Placed,6.96
8.6,116,71.12,66.99,77.45,2,4,5.34,8.99,1,1,1,ME,Placed,7.09
6.49,107,85.19,90.13,67.56,1,2,8.62,7.79,0,0,0,ME,Not Placed,
6.73,94,80.19,65.75,65.01,0,0,7.38,3.02,0,1,0,ECE,Not Placed,
7.08,70,72.6,81.88,73.39,2,1,3.81,8.94,0,0,0,ECE,Not Placed,
7.88,93,78.43,70.85,75.56,3,6,8.59,8.91,1,0,0,CSE,Placed,8.2
6.89,112,78.85,79.46,78.64,1,1,6.45,6.01,1,3,0,ME,Not Placed,
5.38,92,85.36,64.79,70.84,1,0,3.33,10.0,0,1,0,EE,Not Placed,
5.02,128,63.55,84.97,71.14,1,1,5.85,4.19,0,3,0,ME,Not Placed,
5.65,104,72.29,83.71,58.67,1,5,10.0,4.36,1,2,0,CSE,Placed,7.95
6.82,108,84.36,71.73,65.21,1,3,7.51,4.36,2,3,0,IT,Not Placed,
8.22,105,83.6,73.7,74.95,1,2,3.47,6.8,2,0,0,CSE,Not Placed,
7.85,107,93.3,69.47,79.18,1,1,3.76,9.93,0,0,0,CSE,Not Placed,
5.49,127,85.53,71.74,88.29,1,4,2.66,4.74,1,0,0,ME,Not Placed,
7.29,95,63.24,72.65,80.76,2,1,6.93,6.56,0,0,0,CSE,Placed,7.46
4.59,109,98.09,73.83,64.28,0,2,3.22,5.81,0,0,0,IT,Not Placed,
6.39,100,69.8,67.96,65.46,0,5,7.93,6.79,0,3,0,CSE,Placed,7.42
9.62,84,76.63,79.25,80.2,0,3,5.11,5.48,0,3,0,EE,Placed,8.9
7.48,82,78.31,76.09,76.67,1,2,8.6,7.27,0,0,0,ECE,Placed,7.34
6.01,81,66.97,60.95,66.7,0,3,6.22,5.48,2,0,0,EE,Not Placed,
7.55,91,86.59,87.54,73.48,0,2,7.25,5.15,0,0,0,CSE,Not Placed,
5.56,98,79.46,86.58,73.97,1,1,6.45,6.28,0,1,0,IT,Not Placed,
6.44,86,47.98,51.79,83.04,1,2,5.6,8.11,1,0,0,IT,Not Placed,
7.92,104,75.14,64.7,69.8,0,5,5.19,4.74,1,0,0,EE,Placed,5.48
6.87,109,51.93,71.35,82.59,1,4,2.28,4.42,0,1,0,ME,Placed,4.94
8.59,84,84.72,70.67,67.05,1,3,7.18,2.48,1,0,0,IT,Placed,9.75
8.2,112,73.87,83.13,84.74,2,6,5.77,7.46,0,2,0,CSE,Placed,7.65
6.59,132,86.74,81.69,74.26,1,3,2.56,7.3,0,0,0,ECE,Not Placed,
7.63,103,78.41,87.07,59.96,1,5,6.85,5.58,0,1,0,CSE,Placed,4.69
7.52,113,70.27,86.72,72.01,3,4,7.14,3.91,0,1,0,ME,Placed,7.86
6.81,116,72.4,80.3,70.21,1,3,3.61,5.57,2,0,0,CSE,Not Placed,
7.04,84,88.87,85.37,59.14,2,3,5.59,2.5,1,0,0,CE,Placed,6.44
7.48,107,79.08,73.2,60.24,0,2,3.98,2.75,1,2,0,IT,Not Placed,
4.34,113,64.68,66.52,70.61,0,2,9.81,7.71,0,0,0,CSE,Placed,3.51
4.96,112,78.96,79.27,76.81,0,5,4.01,6.15,0,0,0,ECE,Not Placed,
6.16,86,73.75,71.44,65.37,2,2,7.27,4.79,1,1,0,EE,Not Placed,
6.95,96,91.28,70.7,70.89,0,2,9.96,6.34,1,1,0,CSE,Placed,5.46
8.06,90,63.91,79.64,63.92,1,1,5.35,2.97,1,0,0,CSE,Not Placed,
7.49,103,84.84,74.28,83.16,2,1,7.08,6.89,1,1,0,ECE,Placed,5.78
8.33,70,80.25,83.42,74.4,1,2,6.92,7.2,1,0,0,ECE,Not Placed,
8.0,101,76.6,75.45,70.08,3,2,5.2,7.15,1,0,0,EE,Not Placed,
8.25,93,82.89,91.99,67.12,1,3,7.8,3.2,2,2,0,ECE,Placed,7.02
5.59,94,71.89,70.93,70.69,2,3,6.56,10.0,1,2,0,CSE,Placed,7.97
7.54,89,82.89,75.28,57.82,0,6,5.69,4.53,0,0,0,CSE,Placed,4.54
6.81,104,73.26,91.19,62.88,2,1,6.98,5.13,0,0,0,IT,Placed,6.43
5.89,85,89.59,77.31,87.14,2,1,3.16,4.78,0,0,0,ME,Not Placed,
6.36,109,70.61,76.46,83.43,1,4,7.91,3.31,0,0,6,IT,Not Placed,
5.44,111,97.69,74.79,64.73,0,1,4.16,8.62,0,1,0,IT,Not Placed,
8.22,99,70.15,69.69,80.19,0,5,5.49,8.2,0,1,6,ME,Placed,7.95
8.12,108,70.19,56.79,86.38,4,1,6.83,3.7,0,2,0,IT,Placed,9.46
6.79,113,73.64,60.35,64.78,2,4,5.3,6.95,0,2,0,CSE,Placed,5.93
7.12,115,86.68,69.35,59.89,1,4,9.15,7.65,0,1,1,CSE,Placed,9.71
6.9,98,75.07,54.01,72.68,3,2,8.72,9.67,1,1,0,IT,Placed,6.95
7.36,102,72.4,80.75,74.94,1,3,8.46,1.45,0,1,0,CSE,Placed,6.92
7.5,93,69.88,67.62,69.05,2,4,6.98,5.27,1,2,0,CE,Placed,5.71
6.44,82,92.4,89.28,75.9,1,0,3.71,6.59,0,0,0,ECE,Not Placed,
5.79,87,69.47,72.67,68.6,2,0,6.31,5.54,0,2,0,IT,Not Placed,
6.65,109,75.39,88.19,76.1,1,2,5.61,4.32,0,1,0,CSE,Not Placed,
7.19,102,63.01,62.88,73.69,4,2,4.02,5.04,2,1,0,IT,Not Placed,
9.83,89,77.27,72.56,67.77,1,5,3.81,1.96,0,3,0,CSE,Placed,9.63
7.47,129,92.19,77.15,84.18,1,1,6.85,5.96,0,1,0,CSE,Placed,8.69
6.9,85,88.36,68.52,73.06,4,3,6.97,3.84,0,1,0,EE,Placed,7.65
7.25,88,73.86,76.92,68.84,4,2,6.2,2.73,0,3,0,ME,Placed,7.96
7.22,105,68.58,68.18,63.27,0,7,5.66,10.0,0,1,0,IT,Placed,6.96
6.82,89,77.7,76.93,84.39,5,2,7.27,4.15,1,1,0,CSE,Placed,7.16
6.9,97,83.69,71.32,78.18,1,2,6.5,7.38,1,1,0,ME,Placed,6.09
7.43,77,79.4,,77.09,1,2,9.07,8.72,1,0,0,ME,Not Placed,
9.7,73,72.43,92.16,70.18,1,1,2.87,8.15,3,1,0,IT,Not Placed,
4.42,92,81.09,84.66,58.43,2,1,6.53,3.92,1,1,0,CSE,Not Placed,
6.79,95,75.47,56.26,83.41,1,1,6.18,6.06,1,2,7,CE,Placed,6.16
7.11,142,83.25,56.19,69.35,3,3,9.7,1.63,1,1,0,ME,Placed,6.53
6.95,124,84.51,94.74,59.95,1,2,5.91,7.31,1,2,0,CSE,Not Placed,
8.52,99,73.77,63.55,72.69,2,2,7.31,8.33,0,0,0,ECE,Placed,8.96
5.91,145,81.55,84.64,72.96,1,3,5.86,3.4,0,1,0,ME,Not Placed,
4.43,70,78.73,79.14,66.37,1,0,6.89,6.54,1,1,0,IT,Not Placed,
6.98,78,92.64,83.32,73.76,1,1,5.74,6.87,0,1,0,CSE,Placed,3.0
7.49,73,93.47,80.13,72.38,0,4,5.85,6.2,0,1,0,ME,Not Placed,
5.01,94,90.63,82.63,77.64,1,1,6.37,6.93,1,0,0,CSE,Not Placed,
8.0,100,72.84,66.66,81.17,0,7,6.83,7.01,3,1,0,ECE,Not Placed,
4.06,83,64.21,71.12,76.42,2,1,7.35,6.23,1,2,4,CSE,Not Placed,
8.21,70,73.48,60.31,61.5,0,3,7.72,6.31,0,1,0,CSE,Placed,7.07
5.22,117,97.7,76.83,68.42,1,1,7.58,8.12,0,0,0,CE,Not Placed,
8.64,108,68.18,98.04,65.05,1,5,2.91,3.63,0,1,7,EE,Placed,5.73
6.55,125,79.47,87.77,75.23,0,0,6.72,8.59,0,1,0,ECE,Not Placed,
7.18,103,78.34,86.91,62.27,2,1,3.6,9.94,0,0,0,CSE,Placed,7.54
5.04,118,71.67,62.8,74.65,1,3,6.37,4.39,1,0,0,ME,Not Placed,
5.24,93,90.34,70.3,76.29,0,2,8.95,5.8,0,0,0,CSE,Placed,7.32
7.43,87,66.92,80.34,63.68,2,3,6.64,6.07,0,1,0,ECE,Placed,8.01
6.04,108,92.44,85.21,67.35,1,0,2.96,9.01,1,1,0,IT,Not Placed,
9.45,98,68.88,76.34,69.98,0,1,6.29,5.73,2,0,0,CE,Not Placed,
8.65,96,77.35,88.32,58.81,2,5,8.48,5.07,0,1,0,IT,Placed,9.19
4.72,79,85.56,92.4,93.48,1,1,6.34,7.68,1,1,0,CSE,Not Placed,
4.93,128,78.65,83.31,72.58,1,3,6.26,9.42,0,1,8,ECE,Placed,4.8
6.48,100,67.3,69.36,67.0,0,3,5.04,8.34,1,2,0,CSE,Not Placed,
8.36,77,82.03,72.44,85.95,5,3,6.71,3.47,0,0,0,CSE,Placed,9.15
7.6,112,64.56,82.31,73.43,1,3,5.67,,0,0,0,ME,Placed,4.55
8.1,72,85.43,68.74,71.24,0,1,7.9,6.45,1,1,0,CSE,Placed,8.44
7.03,87,76.98,87.76,67.56,1,5,8.94,7.55,2,0,0,IT,Placed,6.9
6.81,112,64.51,71.46,53.35,1,1,5.65,4.89,1,4,1,ECE,Not Placed,
6.18,108,86.89,81.86,86.26,0,2,6.42,9.46,0,1,0,CSE,Not Placed,
7.71,117,92.78,85.14,74.42,3,6,5.88,5.16,1,1,0,CSE,Placed,7.14
